鄉鎮市區,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,建築完成年月,交易筆棟數,移轉層次,建物型態,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,主建物面積,附屬建物面積,陽台面積,電梯
中正區,臺北市中正區仁愛路一段２３巷８號三樓,14.57,住,1100531,1061116,土地1建物1車位0,三層,華廈(10層含以下有電梯),67.92,2,1,1,有,有,24660000,363074,,31.87,2.36,2.29,有
中正區,臺北市中正區仁愛路一段２３巷８號三樓之１,15.04,住,1100524,1061116,土地1建物1車位1,三層,華廈(10層含以下有電梯),87.73,2,2,1,有,有,27280000,356908,升降機械,31.28,2.52,3.83,有
松山區,臺北市松山區饒河街１９９號十樓,13.48,商,1100525,1071003,土地1建物1車位1,十層,住宅大樓(11層含以上有電梯),245.86,4,2,2,有,有,47000000,222486,坡道平面,111.75,1.48,28.95,有
中正區,臺北市中正區晉江街３２號三樓,64.49,住,1100528,1020311,土地1建物1車位2,三層,華廈(10層含以下有電梯),240.26999999999998,2,2,2,有,有,58500000,241895,坡道機械,122.04,7.57,32.33,有
中正區,臺北市中正區信義路二段２６１號十四樓之１,4.93,商,1100528,1070702,土地12建物1車位0,十四層,住宅大樓(11層含以上有電梯),46.989999999999995,0,0,0,無,有,20761200,441822,,27.17,2.53,0.0,有
中山區,臺北市中山區新生北路二段６８巷８號六樓之１３,9.91,商,1100511,1050602,土地1建物1車位0,六層,住宅大樓(11層含以上有電梯),74.94,2,2,1,有,有,20830000,277956,,41.36,2.34,4.63,有
萬華區,臺北市萬華區昆明街１１１號十樓之８,0.54,商,1100501,0920122,土地1建物1車位1,十層,住宅大樓(11層含以上有電梯),45.39,0,1,1,有,有,6800000,149813,塔式車位,24.71,0.99,0.0,有
松山區,臺北市松山區市民大道四段３９之３號二十樓,60.2,住,1100519,1090102,土地2建物1車位3,二十層,住宅大樓(11層含以上有電梯),447.6,0,0,0,無,有,215580000,625245,坡道平面,180.31,8.75,22.24,有
文山區,萬壽路６２之５號三樓,20.08,住,1100409,0961023,土地1建物1車位0,三層,公寓(5樓含以下無電梯),52.760000000000005,1,1,1,有,無,6200000,117513,,22.04,0.0,4.24,無
文山區,萬安街７０號二樓之１,42.0,都市：其他:第貳類住宅用地及第壹類住宅用地(萬芳社區特定專用區)。,1100428,0720728,土地3建物1車位0,二層,住宅大樓(11層含以上有電梯),96.77000000000001,3,2,1,有,有,13150000,135889,,65.69,0.0,10.4,有
萬華區,康定路８２號五樓之５,10.59,商,1100426,1020528,土地1建物1車位1,五層,住宅大樓(11層含以上有電梯),158.25,3,2,2,有,有,25200000,159242,坡道機械,79.93,0.82,14.18,有
萬華區,康定路８２號六樓之２,5.59,商,1100417,1020528,土地1建物1車位1,六層,住宅大樓(11層含以上有電梯),90.32,2,2,1,有,有,16000000,177148,升降機械,43.84,0.0,5.72,有
中山區,中山北路一段１０５巷１２號三樓,10.89,商,1100409,1060110,土地1建物1車位0,三層,華廈(10層含以下有電梯),82.0,2,1,1,有,有,21680000,264390,,46.25,4.6,3.01,有
文山區,辛亥路六段３７號二樓之３,22.81,住,1100402,0970521,土地2建物1車位2,二層,住宅大樓(11層含以上有電梯),132.29,2,2,1,有,有,19380000,189919,坡道機械,54.23,2.35,3.69,有
中正區,牯嶺街１４２號二樓,21.54,商,1100425,1090710,土地2建物1車位2,二層,住宅大樓(11層含以上有電梯),279.77,3,2,2,有,有,47000000,190390,坡道平面,128.65,11.77,14.02,有
大同區,南京西路５７號十八樓,8.69,都市：其他:聯合開發區(捷)(依都市計畫說明書圖規定辦理)。,1100419,1080304,土地1建物1車位1,十八層,住宅大樓(11層含以上有電梯),119.47,3,1,2,有,有,48500000,405960,坡道平面,64.23,0.0,7.16,有
內湖區,新富街１５８號三樓,50.96,住,1100409,1010601,土地1建物1車位2,三層,住宅大樓(11層含以上有電梯),347.09000000000003,3,2,4,有,有,69880000,247416,坡道平面,161.13,2.0,18.6,有
信義區,信義路五段１５０巷４０６號四樓,28.25,住,1100430,0590727,土地2建物1車位0,四層,公寓(5樓含以下無電梯),78.98,4,0,4,有,無,14220000,180046,,69.03,0.0,9.95,無
中山區,新生北路二段６２巷１６號八樓之３,7.21,商,1100427,1050322,土地1建物1車位0,八層,住宅大樓(11層含以上有電梯),99.34,3,2,1,有,有,27500000,276827,,61.62,3.89,4.38,有
文山區,木柵路四段３１號三樓,26.62,住,1100419,0670921,土地1建物1車位0,三層,公寓(5樓含以下無電梯),68.27,4,2,1,有,無,6900000,101069,,64.2,0.0,4.06,無
大安區,羅斯福路二段７９號十樓之３,4.2,商,1100430,0780930,土地1建物1車位0,十層,住宅大樓(11層含以上有電梯),43.75,0,1,1,有,有,11100000,253714,,31.78,1.54,0.0,有
內湖區,康樂街１８６巷２８號五樓之１,19.82,住,1100416,1000412,土地1建物1車位1,五層,華廈(10層含以下有電梯),106.75999999999999,1,2,1,有,無,15000000,140502,升降機械,45.58,7.5,5.64,有
