鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
大安區,房地(土地+建物),臺北市大安區基隆路二段１４２號十樓,8.12,商,,,1070605,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730714,96.45,3,2,2,有,有,19110000,198134,,0.0,0,,RPPNMLTJPHNFFFA58CA,74.93,0.0,5.15,,
大安區,房地(土地+建物),臺北市大安區仁愛路三段２８號九樓之３,11.21,住,,,1070605,土地2建物1車位0,九層，陽台,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,59.68,2,1,1,有,有,20180000,338137,,0.0,0,,RPPNMLKKPHNFFFA77CA,58.43,0.0,0.0,,
北投區,房地(土地+建物)+車位,臺北市北投區溫泉路６８巷６弄６號四樓之１,27.21,住,,,1070611,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051109,166.91000000000003,3,2,2,有,有,28600000,199908,坡道平面,36.85,2600000,,RPVOMLOKQHNFFEA88CA,72.16,5.63,7.2,,
北投區,房地(土地+建物),臺北市北投區永興路一段３２巷３弄１０號四樓,29.17,住,,,1070529,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670717,102.72,3,2,2,有,無,8700000,84696,,0.0,0,,RPUPMLLKPHNFFEA48CA,85.35,0.0,11.36,,
士林區,房地(土地+建物),臺北市士林區中山北路七段８１巷３０號二樓之１,15.66,住,,,1070602,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680828,106.88999999999999,3,2,2,有,無,16600000,155300,,0.0,0,,RPOPMLLKPHNFFEA87CA,93.28,0.0,4.18,,
士林區,房地(土地+建物),臺北市士林區德行東路193號3樓,28.0,住,,,1070422,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731203,149.41000000000003,4,2,2,有,無,24000000,160632,,0.0,0,,RPUOMLQJPHNFFEA78CA,122.39,1.91,18.06,,
北投區,房地(土地+建物),臺北市北投區溫泉路６５巷９之５號四樓,22.79,住,,,1070531,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890719,76.97,3,1,1,有,有,11000000,142913,,0.0,0,,RPOPMLMKPHNFFEA97CA,51.49,2.34,5.84,,
信義區,房地(土地+建物),臺北市信義區永吉路２００巷１８號,47.5,住,,,1070605,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0581104,102.56,3,2,2,有,無,25250000,246197,,0.0,0,,RPQOMLQJPHNFFDA28CA,102.56,0.0,0.0,,
南港區,房地(土地+建物),臺北市南港區舊莊街二段１巷１２號五樓,35.01,住,,,1070619,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831011,131.86,3,2,2,有,有,14600000,110723,,0.0,0,,RPSOMLTJPHNFFDA78CA,83.05,2.44,9.54,,
信義區,房地(土地+建物),臺北市信義區信義路五段１５０巷４３１弄１６號二樓,18.56,住,,,1070528,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741213,90.1,3,2,1,有,無,14800000,164262,,0.0,0,,RPUNMLNKPHNFFDA38CA,71.86,0.95,8.61,,
信義區,房地(土地+建物)+車位,臺北市信義區松仁路２２８巷７弄８號八樓,21.14,住,,,1070521,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831130,180.01999999999998,4,2,2,有,有,31500000,174971,坡道平面,0.0,0,,RPPOMLNKPHNFFDA97CA,96.94,2.3,13.26,,
南港區,房地(土地+建物),臺北市南港區福德街３３９巷１弄１５號,45.25,住,,,1070619,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650629,71.48,3,2,2,有,無,11200000,156687,,0.0,0,,RPTNMLOLPHNFFDA48CA,71.48,0.0,0.0,,
信義區,房地(土地+建物)+車位,臺北市信義區和平東路三段391巷20弄75號二樓之4,41.46,住,,,1070605,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880906,122.05,3,1,1,有,有,17800000,145842,坡道平面,0.0,0,,RPUNMLTKPHNFFDA98CA,62.02,2.5,5.2,,
